dataset,problem,n,m,nnz_a,clarabel_1e-4,clarabel_1e-6,clarabel_1e-8,cvxopt_1e-4,cvxopt_1e-6,scs_cpu_1e-4,scs_cpu_1e-6,scs_cudss_1e-4,scs_cudss_1e-6,sdpa_1e-4,sdpa_1e-6,clarabel_1e-4_status,clarabel_1e-6_status,clarabel_1e-8_status,cvxopt_1e-4_status,cvxopt_1e-6_status,scs_cpu_1e-4_status,scs_cpu_1e-6_status,scs_cudss_1e-4_status,scs_cudss_1e-6_status,sdpa_1e-4_status,sdpa_1e-6_status
sdplib,control1,21.0,120.0,345.0,0.01,0.01,0.01,0.04,0.04,20.2,26.98,269.4,184.05,0.07,0.08,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,control10,1326.0,11325.0,313950.0,71.57,61.68,87.89,80.98,84.41,900.31,900.44,900.64,900.56,31.63,34.86,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,control11,1596.0,13695.0,417670.0,83.05,102.4,118.3,129.82,134.11,900.34,900.46,900.8,900.5,49.55,60.73,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,control2,66.0,465.0,2590.0,0.1,0.11,0.14,0.09,0.09,77.73,105.11,658.0,439.2,0.23,0.24,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,control3,136.0,1035.0,8610.0,0.39,0.54,0.59,0.34,0.36,172.69,228.24,900.47,806.57,0.5,0.56,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,control4,231.0,1830.0,20280.0,1.67,2.36,2.52,1.0,1.07,335.85,445.02,900.76,900.32,0.95,1.16,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,control5,351.0,2850.0,39475.0,3.58,4.88,4.84,2.89,3.13,586.6,757.09,900.5,900.35,1.92,2.45,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,control6,496.0,4095.0,68070.0,8.38,11.39,11.47,6.53,6.7,865.9,900.25,900.56,900.38,3.77,4.39,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,control7,666.0,5565.0,107940.0,13.67,17.0,17.32,13.67,15.45,869.6,900.11,900.61,900.35,7.25,8.98,optimal_inaccurate,optimal,optimal,optimal_inaccurate,max_iter_reached,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,control8,861.0,7260.0,160960.0,21.46,27.94,31.56,24.74,25.54,900.18,900.19,900.69,900.45,10.43,14.8,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,control9,1081.0,9180.0,229005.0,34.98,45.71,52.56,43.47,46.17,900.21,900.23,900.71,900.48,17.62,24.94,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,equalG11,801.0,321201.0,321201.0,,,,415.81,556.74,918.3,920.25,908.09,906.26,68.71,76.59,,,,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,equalG51,1001.0,501501.0,501501.0,,,,990.0,990.0,941.09,947.35,913.73,911.09,130.12,153.67,,,,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,gpp100,101.0,5050.0,5150.0,15.11,24.99,36.39,0.33,0.6,39.87,900.03,159.0,900.31,0.66,0.74,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,gpp124-1,125.0,7750.0,7874.0,49.45,71.09,94.36,0.83,1.31,432.81,900.06,900.56,900.43,0.97,1.1,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,solver_error
sdplib,gpp124-2,125.0,7750.0,7874.0,39.02,60.12,90.55,0.7,1.35,485.99,900.07,900.56,900.37,0.94,1.07,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,gpp124-3,125.0,7750.0,7874.0,37.0,64.18,81.28,0.53,1.02,245.29,900.07,900.63,900.43,0.95,1.06,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,gpp124-4,125.0,7750.0,7874.0,41.54,68.52,89.04,0.7,1.34,828.92,900.04,900.55,900.4,0.92,1.05,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,solver_error
sdplib,gpp250-1,251.0,31375.0,31625.0,985.57,990.0,990.0,8.98,52.23,785.35,900.32,900.89,900.59,3.62,4.03,optimal_inaccurate,time_limit,time_limit,optimal_inaccurate,primal_infeasible_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,gpp250-2,251.0,31375.0,31625.0,978.26,990.0,990.0,6.9,12.72,753.26,900.36,900.8,900.62,3.59,4.09,optimal_inaccurate,time_limit,time_limit,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,gpp250-3,251.0,31375.0,31625.0,977.92,980.97,990.0,7.26,14.1,900.49,900.33,900.85,900.56,3.61,4.26,optimal_inaccurate,time_limit,time_limit,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
