dataset,problem,n,m,nnz_a,nnz_p,clarabel_1e-4,clarabel_1e-6,cuopt_1e-4,cuopt_1e-5,cuopt_1e-6,highs_1e-4,highs_1e-6,osqp_1e-4,osqp_1e-5,osqp_1e-6,pdlp_1e-4,pdlp_1e-5,pdlp_1e-6,piqp_1e-4,piqp_1e-6,qtqp_cudss_1e-4,qtqp_cudss_1e-6,qtqp_cudss_1e-8,qtqp_mkl_1e-4,qtqp_mkl_1e-6,qtqp_mkl_1e-8,scs_cpu_1e-4,scs_cpu_1e-5,scs_cpu_1e-6,scs_cudss_1e-4,scs_cudss_1e-5,scs_cudss_1e-6,clarabel_1e-4_status,clarabel_1e-6_status,cuopt_1e-4_status,cuopt_1e-5_status,cuopt_1e-6_status,highs_1e-4_status,highs_1e-6_status,osqp_1e-4_status,osqp_1e-5_status,osqp_1e-6_status,pdlp_1e-4_status,pdlp_1e-5_status,pdlp_1e-6_status,piqp_1e-4_status,piqp_1e-6_status,qtqp_cudss_1e-4_status,qtqp_cudss_1e-6_status,qtqp_cudss_1e-8_status,qtqp_mkl_1e-4_status,qtqp_mkl_1e-6_status,qtqp_mkl_1e-8_status,scs_cpu_1e-4_status,scs_cpu_1e-5_status,scs_cpu_1e-6_status,scs_cudss_1e-4_status,scs_cudss_1e-5_status,scs_cudss_1e-6_status
miplib_relax,neos-3381206-awhea,2375.0,2854.0,6650.0,0.0,0.02,0.02,0.33,0.47,0.32,0.03,0.03,0.01,0.01,0.01,0.02,0.02,0.03,0.01,0.01,1.69,1.57,0.96,0.1,0.1,0.11,0.03,0.04,0.04,0.68,0.31,0.3,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-3402294-bobin,2904.0,593980.0,2037792.0,0.0,11.53,15.99,1.03,1.33,1.08,1.72,1.8,202.22,300.07,300.05,4.31,9.42,7.57,8.76,8.9,12.5,10.09,8.62,11.21,13.48,14.15,12.59,13.54,15.6,16.81,10.8,10.98,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,time_limit,time_limit,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-3402454-bohle,2904.0,2900284.0,8956704.0,0.0,213.48,226.08,4.24,4.78,4.89,93.71,136.94,300.19,300.22,300.27,35.26,46.27,56.98,390.0,390.0,70.18,52.29,62.02,67.33,77.41,98.26,88.94,94.4,100.98,115.99,101.95,100.05,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,time_limit,time_limit,time_limit,optimal_inaccurate,optimal,optimal,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-3555904-turama,37461.0,183954.0,831066.0,0.0,285.15,264.15,0.65,1.02,0.71,1.35,2.08,15.72,69.5,99.13,16.81,25.88,19.85,4.34,4.6,6.88,5.49,5.31,7.76,8.62,8.36,3.79,4.44,4.95,3.55,2.81,2.9,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-3627168-kasai,1462.0,3114.0,6617.0,0.0,0.02,0.02,0.85,1.08,0.83,0.03,0.03,0.05,0.05,0.05,0.39,0.34,0.34,0.02,0.02,1.68,1.58,1.1,0.09,0.11,0.12,0.08,0.09,0.08,0.68,0.38,0.42,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-3656078-kumeu,14870.0,31937.0,73573.0,0.0,5.72,7.75,0.82,1.09,0.87,0.4,0.33,300.0,300.0,300.0,300.06,300.05,300.06,1.12,1.16,3.1,2.74,2.45,2.8,2.97,3.27,25.67,31.5,84.78,19.09,16.45,17.01,optimal,optimal,optimal,optimal,optimal,optimal,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-3754224-navua,150228.0,245406.0,665993.0,0.0,237.82,304.39,7.11,300.45,300.3,300.06,226.23,300.02,300.03,300.01,300.46,300.33,300.42,390.0,390.0,,,,,,,4.54,5.36,302.22,5.36,3.69,302.23,optimal,optimal,optimal_inaccurate,time_limit,time_limit,time_limit,solver_error,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,,,,,,,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-3754480-nidda,253.0,655.0,1741.0,0.0,0.0,0.0,0.33,0.46,0.3,0.01,0.01,8.67,10.31,8.62,0.47,0.8,0.92,0.0,0.0,1.69,1.5,1.05,0.04,0.05,0.05,0.03,0.03,0.04,0.64,0.36,0.44,optimal,optimal,optimal,optimal,optimal,optimal,optimal,max_iter_reached,max_iter_reached,max_iter_reached,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-3988577-wolgan,25870.0,70532.0,376220.0,0.0,0.78,1.05,0.72,0.96,0.77,282.64,300.02,6.2,63.8,81.21,4.29,8.1,7.82,0.58,0.6,3.51,3.08,2.8,2.86,3.01,3.07,1.26,1.37,1.97,1.56,1.03,1.18,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-4300652-rahue,33003.0,109995.0,216619.0,0.0,0.59,0.8,0.52,0.84,0.57,1.05,0.99,0.42,0.66,0.67,0.65,0.69,0.8,0.69,0.65,3.46,3.19,2.42,2.75,2.87,3.16,1.12,1.39,1.64,1.93,1.56,1.61,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
