dataset,problem,n,m,nnz_a,nnz_p,clarabel_1e-4,clarabel_1e-6,cuopt_1e-4,cuopt_1e-5,cuopt_1e-6,highs_1e-4,highs_1e-6,osqp_1e-4,osqp_1e-5,osqp_1e-6,pdlp_1e-4,pdlp_1e-5,pdlp_1e-6,piqp_1e-4,piqp_1e-6,qtqp_cudss_1e-4,qtqp_cudss_1e-6,qtqp_cudss_1e-8,qtqp_mkl_1e-4,qtqp_mkl_1e-6,qtqp_mkl_1e-8,scs_cpu_1e-4,scs_cpu_1e-5,scs_cpu_1e-6,scs_cudss_1e-4,scs_cudss_1e-5,scs_cudss_1e-6,clarabel_1e-4_status,clarabel_1e-6_status,cuopt_1e-4_status,cuopt_1e-5_status,cuopt_1e-6_status,highs_1e-4_status,highs_1e-6_status,osqp_1e-4_status,osqp_1e-5_status,osqp_1e-6_status,pdlp_1e-4_status,pdlp_1e-5_status,pdlp_1e-6_status,piqp_1e-4_status,piqp_1e-6_status,qtqp_cudss_1e-4_status,qtqp_cudss_1e-6_status,qtqp_cudss_1e-8_status,qtqp_mkl_1e-4_status,qtqp_mkl_1e-6_status,qtqp_mkl_1e-8_status,scs_cpu_1e-4_status,scs_cpu_1e-5_status,scs_cpu_1e-6_status,scs_cudss_1e-4_status,scs_cudss_1e-5_status,scs_cudss_1e-6_status
miplib_relax,radiationm18-12-05,40623.0,81558.0,136772.0,0.0,0.81,1.23,0.95,1.16,0.9,0.29,0.29,300.01,300.01,300.01,300.12,300.09,300.11,0.39,0.37,4.01,7.97,27.66,3.15,7.96,36.33,2.97,3.71,300.44,3.78,2.61,300.77,optimal,optimal,optimal,optimal,optimal,optimal,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,radiationm40-10-02,172013.0,345616.0,578838.0,0.0,4.17,5.47,1.28,2.0,1.55,1.36,1.19,300.03,300.03,300.06,16.76,300.5,300.59,2.05,2.08,15.97,18.06,124.42,20.08,25.46,214.91,16.52,18.92,34.77,18.47,12.27,24.44,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,time_limit,time_limit,time_limit,optimal,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,rail01,117527.0,164370.0,509613.0,0.0,159.17,191.57,4.83,7.44,8.17,300.04,93.85,300.03,300.04,300.04,288.94,300.21,300.25,331.87,281.12,19.54,18.36,23.08,50.62,70.68,93.56,54.23,43.62,73.8,25.49,16.49,15.86,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,time_limit,optimal,time_limit,time_limit,time_limit,optimal,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,rail02,270869.0,366660.0,1027097.0,0.0,316.21,315.53,8.32,15.07,13.78,300.06,300.06,300.1,300.04,300.13,300.86,300.68,300.79,390.0,390.0,49.82,57.62,59.14,390.0,390.0,390.0,259.64,282.49,312.16,64.55,48.7,48.28,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,rail507,63019.0,63528.0,531897.0,0.0,3.64,5.11,0.61,1.06,1.17,5.03,3.94,111.38,121.09,168.62,17.13,58.49,224.01,2.15,2.18,6.72,5.76,33.8,5.77,6.0,48.14,8.09,11.02,12.55,5.99,6.02,6.81,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,ran14x18-disj-8,504.0,951.0,10781.0,0.0,0.45,0.56,0.3,0.61,0.3,0.05,0.05,0.11,0.8,5.15,0.16,0.43,2.29,0.04,0.04,1.66,1.52,1.12,0.11,0.11,0.13,0.13,0.11,0.16,0.87,0.57,0.71,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,rd-rplusc-21,622.0,126520.0,853005.0,0.0,1.11,1.53,0.76,1.68,0.77,0.89,0.88,300.01,300.01,300.01,8.24,15.08,20.11,1.26,1.27,4.04,3.34,29.15,12.62,11.95,14.77,310.13,83.68,310.15,107.33,98.65,301.27,optimal,optimal,optimal,optimal,optimal,optimal,optimal,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal,optimal,optimal_inaccurate
miplib_relax,reblock115,1150.0,5885.0,14874.0,0.0,0.55,0.73,0.41,1.69,0.41,0.12,0.12,204.94,206.58,213.62,0.14,0.14,0.15,0.13,0.13,1.76,1.7,1.3,0.27,0.28,0.33,0.27,0.27,0.27,1.09,0.72,0.74,optimal,optimal,optimal,optimal,optimal,optimal,optimal,max_iter_reached,max_iter_reached,max_iter_reached,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,rmatr100-p10,7359.0,14619.0,29236.0,0.0,0.2,0.27,0.54,0.75,0.57,0.19,0.18,0.25,0.64,2.07,0.52,0.39,0.71,0.18,0.19,2.18,2.16,1.7,0.7,0.8,0.96,1.36,1.11,1.66,1.99,1.34,1.35,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,rmatr200-p5,37816.0,75433.0,150864.0,0.0,2.35,3.43,,1.46,1.82,6.78,6.38,9.33,13.9,22.18,5.04,5.64,13.21,1.96,2.0,4.44,4.42,4.5,4.74,6.11,10.14,14.74,14.92,18.71,14.05,9.63,10.31,optimal,optimal,worker_error,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,rocI-4-11,6839.0,17722.0,34222.0,0.0,0.1,0.15,0.66,0.87,0.67,0.11,0.11,0.07,0.07,0.11,0.09,0.1,0.1,0.06,0.07,1.76,1.71,1.29,0.36,0.37,0.53,22.71,20.01,22.92,15.67,23.87,9.02,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal,dual_infeasible,dual_infeasible,dual_infeasible,dual_infeasible,dual_infeasible,dual_infeasible
miplib_relax,rocII-5-11,11523.0,38420.0,314814.0,0.0,1.12,1.53,0.47,0.74,0.47,0.44,0.37,30.25,300.01,300.01,3.62,6.3,11.55,0.41,0.44,3.41,2.92,2.6,2.8,2.8,3.79,1.49,1.42,1.6,1.81,1.28,1.36,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,rococoB10-011000,4456.0,6123.0,20973.0,0.0,0.1,0.14,0.7,0.89,0.77,0.09,0.08,147.07,155.35,155.69,286.39,300.01,300.01,0.06,0.07,1.81,1.83,1.48,0.35,0.41,0.61,2.73,4.41,5.45,3.79,5.35,6.12,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,max_iter_reached,max_iter_reached,optimal,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,rococoC10-001000,3117.0,4410.0,14868.0,0.0,0.13,0.11,0.42,0.47,0.45,0.04,0.04,161.81,123.29,138.92,81.13,260.16,275.06,0.06,0.08,1.85,1.69,1.16,0.31,0.32,0.38,1.31,4.57,6.47,1.66,8.99,8.59,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,max_iter_reached,max_iter_reached,max_iter_reached,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,rococoC11-011100,6491.0,8858.0,36963.0,0.0,0.16,0.23,0.66,0.9,0.75,0.09,0.08,260.01,260.75,259.96,300.02,300.02,300.02,0.12,0.13,,,,,,,4.44,5.4,5.83,6.14,6.08,5.97,optimal,optimal,optimal,optimal,optimal,optimal,optimal,max_iter_reached,max_iter_reached,max_iter_reached,time_limit,time_limit,time_limit,optimal,optimal,,,,,,,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,roi2alpha3n4,6816.0,8067.0,885628.0,0.0,35.12,22.93,,0.88,,1.61,1.51,23.33,262.04,300.01,29.43,55.04,70.05,8.13,7.94,3.02,2.84,2.28,5.27,5.73,7.62,3.4,3.59,3.34,2.04,1.44,1.4,optimal,optimal,worker_error,optimal,worker_error,optimal,optimal,optimal,optimal,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,roi5alpha10n8,106150.0,110815.0,2476374.0,0.0,129.61,93.93,0.95,1.41,,32.75,18.07,69.98,300.03,300.03,83.72,86.33,119.19,30.13,390.0,19.81,15.45,14.33,46.67,45.35,62.81,28.73,30.69,33.73,15.97,9.27,11.92,optimal,optimal,optimal_inaccurate,optimal_inaccurate,worker_error,optimal,optimal,optimal,time_limit,time_limit,optimal,optimal,optimal,optimal,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,roll3000,1166.0,3460.0,30551.0,0.0,15.32,9.85,,0.81,0.64,0.09,0.09,216.56,220.12,231.09,300.01,300.01,300.01,0.46,0.48,1.78,1.82,2.1,0.3,0.54,1.72,0.81,300.05,300.07,1.46,300.31,300.34,optimal,optimal,worker_error,optimal,optimal,optimal,optimal,optimal,max_iter_reached,max_iter_reached,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,s100,364417.0,379150.0,2142334.0,0.0,309.51,308.64,8.1,9.32,8.21,300.11,300.11,300.04,300.04,300.06,300.74,300.85,301.12,263.19,229.98,67.0,48.62,390.0,390.0,390.0,390.0,185.54,302.98,304.71,106.59,222.1,306.12,time_limit,time_limit,optimal,optimal,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,optimal,optimal,time_limit,time_limit,time_limit,time_limit,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal
miplib_relax,s250r10,273142.0,284104.0,1591749.0,0.0,281.08,304.79,7.14,7.64,7.02,300.09,237.58,300.03,300.04,300.04,300.59,300.65,300.68,56.5,55.14,53.04,51.79,390.0,119.65,131.52,390.0,76.85,175.37,220.69,57.25,67.58,95.71,optimal,time_limit,optimal,optimal,optimal_inaccurate,time_limit,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,optimal,optimal,time_limit,optimal,optimal,time_limit,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,satellites2-40,35378.0,55333.0,318085.0,0.0,30.75,35.92,1.31,2.05,1.85,20.19,14.31,300.02,307.24,300.02,53.7,58.84,200.56,308.01,262.61,5.93,5.47,5.51,41.21,39.87,51.44,304.07,302.07,303.61,108.05,301.01,301.03,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate
miplib_relax,satellites2-60-fs,35378.0,50933.0,159465.0,0.0,11.56,13.58,0.76,1.32,1.14,4.29,4.3,300.01,300.01,300.01,33.28,53.04,122.14,19.96,21.96,3.94,3.43,3.06,6.1,5.98,8.39,78.2,300.64,300.6,28.91,120.99,300.76,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate
miplib_relax,savsched1,328575.0,624564.0,2099082.0,0.0,316.6,283.83,1.76,3.77,2.45,300.1,300.1,300.03,300.05,300.07,48.48,36.95,47.67,52.77,46.27,35.05,28.17,26.79,68.34,66.68,92.63,62.17,305.78,307.66,34.47,123.31,97.84,time_limit,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,sct2,5885.0,7895.0,29387.0,0.0,0.14,0.21,0.46,0.64,0.47,0.24,0.3,19.76,30.02,180.14,8.0,10.81,12.4,0.1,0.1,2.27,2.01,1.46,0.5,0.53,0.69,0.44,0.43,0.45,1.12,0.89,0.67,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,max_iter_reached,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,seymour,1372.0,6316.0,34921.0,0.0,8.5,5.19,0.55,0.88,0.65,0.56,0.56,1.13,8.27,300.0,0.21,0.45,1.16,0.21,0.22,1.91,1.76,1.22,0.32,0.34,0.43,0.65,0.65,0.79,1.22,1.0,1.08,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,seymour1,1372.0,6316.0,34921.0,0.0,7.4,5.27,0.55,1.13,0.7,0.56,0.56,1.14,8.27,300.0,0.22,0.45,1.15,0.22,0.22,1.91,1.73,1.2,0.32,0.36,0.42,0.67,0.64,0.79,1.2,1.07,0.97,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,sing326,55156.0,105937.0,323329.0,0.0,2.55,4.0,3.03,5.31,3.82,6.51,5.06,25.3,178.63,300.01,300.12,300.14,300.14,2.06,2.31,7.15,10.32,11.45,7.38,15.58,28.93,20.1,17.94,25.57,14.24,12.3,12.15,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,sing44,59708.0,114453.0,340968.0,0.0,2.56,4.15,4.29,5.16,5.17,6.98,6.54,33.82,129.79,300.01,300.15,300.14,300.18,2.16,2.19,6.47,11.24,10.94,6.87,17.88,31.31,21.41,17.8,24.5,14.4,11.31,11.42,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,snp-02-004-104,228350.0,354862.0,692291.0,0.0,240.75,294.82,3.84,4.89,3.88,4.54,4.48,300.03,300.04,300.05,300.45,300.56,300.7,39.32,40.03,33.14,51.02,136.72,71.97,142.9,302.28,38.52,157.52,85.38,64.42,61.11,146.8,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,sorrell3,1024.0,170186.0,339348.0,0.0,4.47,6.22,0.62,0.99,0.62,0.72,0.78,0.68,0.68,0.68,0.61,0.83,1.06,1.27,1.29,3.62,3.16,2.53,2.08,2.18,3.04,2.3,2.06,2.36,3.22,2.55,2.4,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,sp150x300d,600.0,1050.0,1800.0,0.0,0.01,0.01,0.31,0.46,0.31,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.0,0.0,1.74,1.57,1.11,0.06,0.06,0.07,0.04,0.03,0.04,0.61,0.35,0.37,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,sp97ar,14101.0,15862.0,305069.0,0.0,1.14,4.37,0.69,0.94,0.71,0.52,0.5,1.63,6.66,146.46,12.2,38.71,117.45,0.63,0.65,2.75,2.3,2.69,1.84,2.03,3.45,1.83,1.79,1.88,1.79,1.56,1.4,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,sp98ar,15085.0,16520.0,441233.0,0.0,1.9,8.54,0.65,0.85,0.69,0.53,0.52,1.76,6.9,19.67,30.07,53.78,155.37,25.12,1.05,3.17,2.75,2.74,2.84,3.3,4.93,2.2,2.32,2.78,1.89,1.59,1.63,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,splice1k1,3253.0,9758.0,1764269.0,0.0,24.15,39.59,1.98,2.26,2.1,10.29,9.8,300.01,300.01,300.39,102.06,99.1,140.39,17.03,13.98,2.95,2.6,2.25,12.33,17.39,25.82,45.91,62.12,90.8,6.69,6.4,8.45,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,square41,62234.0,102394.0,13628660.0,0.0,302.34,319.09,20.14,22.0,22.27,51.03,42.3,300.11,300.1,300.11,301.71,301.66,301.85,166.07,158.8,23.63,20.49,22.77,214.58,277.01,390.0,312.77,311.42,310.74,55.8,54.69,102.15,optimal,time_limit,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,time_limit,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal
miplib_relax,square47,95030.0,156621.0,27424886.0,0.0,342.16,390.0,31.87,33.69,31.81,130.59,145.05,300.16,300.15,300.21,390.0,390.0,390.0,390.0,390.0,48.41,47.68,51.84,390.0,390.0,390.0,390.0,340.61,336.46,106.43,200.3,219.77,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,time_limit,time_limit,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal
miplib_relax,supportcase10,14770.0,180454.0,569852.0,0.0,125.34,139.48,1.95,3.13,2.69,300.02,239.98,300.03,300.01,300.03,16.51,20.31,40.99,390.0,390.0,10.52,13.16,13.25,114.37,171.3,208.26,313.47,306.81,310.55,125.46,302.28,302.2,optimal,optimal,optimal_inaccurate,optimal,optimal,time_limit,optimal,optimal,time_limit,time_limit,optimal,optimal,optimal,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,supportcase12,799616.0,966397.0,3134053.0,0.0,315.93,311.13,2.31,2.94,2.3,57.42,125.67,300.1,300.09,300.14,301.4,301.67,302.06,57.79,53.95,146.41,149.83,164.36,200.82,322.8,390.0,310.77,310.09,310.49,315.77,311.84,311.57,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,time_limit,dual_infeasible_inaccurate,dual_infeasible_inaccurate,dual_infeasible_inaccurate,dual_infeasible_inaccurate,dual_infeasible_inaccurate,dual_infeasible_inaccurate
miplib_relax,supportcase18,13410.0,13650.0,42330.0,0.0,0.1,0.15,0.29,0.43,0.32,0.08,0.09,0.05,0.05,0.05,0.48,0.7,0.72,0.07,0.07,2.06,1.76,1.2,0.47,0.45,0.57,0.12,0.09,0.14,0.65,0.38,0.41,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,supportcase19,1429098.0,1439811.0,5716192.0,0.0,114.75,138.51,136.95,301.53,301.66,300.4,300.42,127.76,300.16,300.18,302.72,303.08,303.1,390.0,390.0,137.91,196.07,314.6,127.96,308.19,390.0,229.74,313.29,315.0,311.7,332.52,329.99,optimal,optimal,optimal_inaccurate,time_limit,time_limit,time_limit,time_limit,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,time_limit,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,supportcase22,7129.0,267731.0,2235957.0,0.0,5.99,7.87,0.89,1.37,0.91,10.71,6.35,300.02,300.03,300.03,11.16,7.84,8.68,5.59,5.86,7.02,5.84,5.09,10.31,9.9,13.89,7.23,7.47,7.4,6.04,4.24,4.3,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,supportcase26,436.0,1306.0,2928.0,0.0,0.01,0.01,0.44,0.55,0.43,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.0,0.0,1.63,1.55,0.98,0.05,0.05,0.06,0.03,0.02,0.03,0.52,0.32,0.34,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,supportcase33,20203.0,40692.0,232118.0,0.0,10.67,12.61,1.42,1.84,1.39,0.6,0.68,3.41,7.54,9.34,0.37,2.8,4.18,1.49,1.53,3.01,2.59,2.1,2.0,2.02,2.83,9.09,8.47,8.76,7.37,4.85,5.25,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,supportcase40,16440.0,54632.0,120860.0,0.0,12.37,13.61,0.47,0.67,0.53,0.33,0.36,13.03,19.39,26.37,5.1,5.43,10.15,31.82,27.5,2.88,2.68,2.01,2.78,2.83,3.65,3.26,3.28,3.43,2.71,1.86,1.97,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,supportcase42,19466.0,36878.0,454092.0,0.0,1.82,2.51,0.59,1.18,0.88,16.39,29.51,34.65,178.04,300.01,7.66,16.17,17.37,2.39,2.27,3.61,3.33,3.45,6.2,6.4,11.84,9.84,7.46,300.42,9.11,9.22,78.33,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal,optimal
miplib_relax,supportcase6,130052.0,130823.0,715028.0,0.0,15.99,24.6,1.39,1.83,1.45,4.59,5.01,300.01,300.01,300.02,300.25,300.19,300.23,3.57,3.62,12.54,15.56,18.18,12.7,20.42,39.77,79.03,87.09,100.82,60.12,44.01,46.74,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,supportcase7,138844.0,145376.0,2984389.0,0.0,20.97,31.24,1.75,3.21,1.75,5.26,4.4,300.03,300.03,300.05,300.57,300.5,300.61,18.94,16.61,13.7,12.53,17.02,35.92,47.51,71.97,302.89,302.88,303.1,304.64,303.08,303.13,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate
miplib_relax,swath1,6805.0,7688.0,41769.0,0.0,0.13,0.18,0.29,0.43,0.3,0.06,0.07,4.37,15.55,16.1,2.8,12.99,13.19,0.07,0.07,1.92,1.8,1.22,0.35,0.34,0.43,0.64,0.53,0.68,1.32,0.91,0.95,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,swath3,6805.0,7688.0,41769.0,0.0,0.13,0.18,0.29,0.41,0.3,0.06,0.06,4.37,15.6,16.19,2.95,12.81,13.32,0.07,0.07,1.84,1.85,1.25,0.34,0.34,0.41,0.65,0.52,0.67,1.3,0.91,0.92,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
